number of photons = 10000.000000
bin size = 0.01000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.00500 	 3.351e+03 	 6.094e+01 	 1.861e+01 	 9.765e+05 
0.01500 	 4.064e+02 	 2.569e+01 	 1.707e+01 	 5.934e+02 
0.02500 	 1.585e+02 	 1.821e+01 	 1.644e+01 	 2.564e+02 
0.03500 	 9.105e+01 	 1.504e+01 	 1.605e+01 	 1.550e+02 
0.04500 	 6.027e+01 	 1.317e+01 	 1.572e+01 	 1.048e+02 
0.05500 	 4.532e+01 	 1.177e+01 	 1.538e+01 	 7.710e+01 
0.06500 	 3.581e+01 	 1.093e+01 	 1.508e+01 	 5.969e+01 
0.07500 	 2.903e+01 	 9.964e+00 	 1.474e+01 	 4.800e+01 
0.08500 	 2.497e+01 	 9.318e+00 	 1.449e+01 	 3.980e+01 
0.09500 	 2.118e+01 	 8.743e+00 	 1.434e+01 	 3.311e+01 
0.10500 	 1.856e+01 	 8.262e+00 	 1.412e+01 	 2.822e+01 
0.11500 	 1.643e+01 	 7.886e+00 	 1.388e+01 	 2.428e+01 
0.12500 	 1.451e+01 	 7.610e+00 	 1.368e+01 	 2.105e+01 
0.13500 	 1.335e+01 	 7.234e+00 	 1.349e+01 	 1.879e+01 
0.14500 	 1.191e+01 	 6.941e+00 	 1.318e+01 	 1.686e+01 
0.15500 	 1.093e+01 	 6.652e+00 	 1.290e+01 	 1.493e+01 
0.16500 	 1.029e+01 	 6.463e+00 	 1.274e+01 	 1.317e+01 
0.17500 	 9.488e+00 	 6.243e+00 	 1.257e+01 	 1.201e+01 
0.18500 	 8.958e+00 	 5.994e+00 	 1.238e+01 	 1.092e+01 
0.19500 	 8.391e+00 	 5.818e+00 	 1.219e+01 	 9.993e+00 
0.20500 	 7.803e+00 	 5.636e+00 	 1.199e+01 	 9.058e+00 
0.21500 	 7.275e+00 	 5.405e+00 	 1.181e+01 	 8.313e+00 
0.22500 	 6.861e+00 	 5.239e+00 	 1.147e+01 	 7.607e+00 
0.23500 	 6.435e+00 	 5.038e+00 	 1.129e+01 	 7.001e+00 
0.24500 	 6.028e+00 	 4.866e+00 	 1.112e+01 	 6.424e+00 
0.25500 	 5.708e+00 	 4.746e+00 	 1.096e+01 	 6.012e+00 
0.26500 	 5.438e+00 	 4.606e+00 	 1.073e+01 	 5.632e+00 
0.27500 	 5.136e+00 	 4.478e+00 	 1.065e+01 	 5.191e+00 
0.28500 	 4.883e+00 	 4.335e+00 	 1.040e+01 	 4.891e+00 
0.29500 	 4.663e+00 	 4.215e+00 	 1.016e+01 	 4.512e+00 
0.30500 	 4.518e+00 	 4.109e+00 	 1.007e+01 	 4.204e+00 
0.31500 	 4.260e+00 	 3.901e+00 	 9.925e+00 	 3.985e+00 
0.32500 	 4.036e+00 	 3.864e+00 	 9.663e+00 	 3.723e+00 
0.33500 	 3.826e+00 	 3.729e+00 	 9.561e+00 	 3.475e+00 
0.34500 	 3.671e+00 	 3.629e+00 	 9.321e+00 	 3.226e+00 
0.35500 	 3.499e+00 	 3.490e+00 	 9.295e+00 	 3.067e+00 
0.36500 	 3.313e+00 	 3.419e+00 	 9.090e+00 	 2.877e+00 
0.37500 	 3.167e+00 	 3.280e+00 	 8.923e+00 	 2.725e+00 
0.38500 	 3.027e+00 	 3.208e+00 	 8.819e+00 	 2.533e+00 
0.39500 	 2.956e+00 	 3.130e+00 	 8.673e+00 	 2.412e+00 
0.40500 	 2.812e+00 	 3.032e+00 	 8.509e+00 	 2.283e+00 
0.41500 	 2.690e+00 	 2.967e+00 	 8.345e+00 	 2.166e+00 
0.42500 	 2.569e+00 	 2.893e+00 	 8.145e+00 	 2.042e+00 
0.43500 	 2.489e+00 	 2.816e+00 	 8.018e+00 	 1.908e+00 
0.44500 	 2.391e+00 	 2.722e+00 	 7.897e+00 	 1.828e+00 
0.45500 	 2.295e+00 	 2.692e+00 	 7.733e+00 	 1.715e+00 
0.46500 	 2.214e+00 	 2.608e+00 	 7.633e+00 	 1.642e+00 
0.47500 	 2.119e+00 	 2.530e+00 	 7.470e+00 	 1.558e+00 
0.48500 	 2.040e+00 	 2.467e+00 	 7.368e+00 	 1.489e+00 
0.49500 	 1.977e+00 	 2.434e+00 	 7.297e+00 	 1.410e+00 
0.50500 	 1.886e+00 	 2.342e+00 	 7.065e+00 	 1.340e+00 
0.51500 	 1.847e+00 	 2.289e+00 	 6.982e+00 	 1.274e+00 
0.52500 	 1.760e+00 	 2.230e+00 	 6.884e+00 	 1.208e+00 
0.53500 	 1.696e+00 	 2.174e+00 	 6.716e+00 	 1.143e+00 
0.54500 	 1.630e+00 	 2.096e+00 	 6.639e+00 	 1.087e+00 
0.55500 	 1.588e+00 	 2.059e+00 	 6.442e+00 	 1.061e+00 
0.56500 	 1.529e+00 	 2.031e+00 	 6.347e+00 	 1.007e+00 
0.57500 	 1.478e+00 	 1.990e+00 	 6.255e+00 	 9.614e-01 
