number of photons = 10000.000000
bin size = 0.05000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.02500 	 1.319e+02 	 1.076e+01 	 7.953e+00 	 7.892e+03 
0.07500 	 1.494e+01 	 3.847e+00 	 6.418e+00 	 1.645e+01 
0.12500 	 5.556e+00 	 2.462e+00 	 5.856e+00 	 6.336e+00 
0.17500 	 2.989e+00 	 1.806e+00 	 5.534e+00 	 3.491e+00 
0.22500 	 1.825e+00 	 1.481e+00 	 5.163e+00 	 2.213e+00 
0.27500 	 1.305e+00 	 1.263e+00 	 4.955e+00 	 1.516e+00 
0.32500 	 9.918e-01 	 1.075e+00 	 4.630e+00 	 1.101e+00 
0.37500 	 7.582e-01 	 9.309e-01 	 4.489e+00 	 8.346e-01 
0.42500 	 5.944e-01 	 8.604e-01 	 4.334e+00 	 6.544e-01 
0.47500 	 4.827e-01 	 7.738e-01 	 4.181e+00 	 5.249e-01 
0.52500 	 3.957e-01 	 7.178e-01 	 4.052e+00 	 4.469e-01 
0.57500 	 3.575e-01 	 6.572e-01 	 3.938e+00 	 3.731e-01 
0.62500 	 3.043e-01 	 6.145e-01 	 3.736e+00 	 3.102e-01 
0.67500 	 2.734e-01 	 5.752e-01 	 3.636e+00 	 2.710e-01 
0.72500 	 2.362e-01 	 5.401e-01 	 3.594e+00 	 2.331e-01 
0.77500 	 2.156e-01 	 5.080e-01 	 3.465e+00 	 2.084e-01 
0.82500 	 1.905e-01 	 4.730e-01 	 3.307e+00 	 1.804e-01 
0.87500 	 1.749e-01 	 4.478e-01 	 3.219e+00 	 1.575e-01 
0.92500 	 1.572e-01 	 4.252e-01 	 3.148e+00 	 1.431e-01 
0.97500 	 1.447e-01 	 3.998e-01 	 3.030e+00 	 1.271e-01 
1.02500 	 1.338e-01 	 3.786e-01 	 2.975e+00 	 1.153e-01 
1.07500 	 1.214e-01 	 3.640e-01 	 2.874e+00 	 1.065e-01 
1.12500 	 1.126e-01 	 3.408e-01 	 2.795e+00 	 9.455e-02 
1.17500 	 1.038e-01 	 3.288e-01 	 2.738e+00 	 8.426e-02 
1.22500 	 9.636e-02 	 3.232e-01 	 2.661e+00 	 7.797e-02 
1.27500 	 9.004e-02 	 3.072e-01 	 2.584e+00 	 7.383e-02 
1.32500 	 8.481e-02 	 2.878e-01 	 2.559e+00 	 6.683e-02 
1.37500 	 7.883e-02 	 2.782e-01 	 2.476e+00 	 6.152e-02 
1.42500 	 7.251e-02 	 2.684e-01 	 2.432e+00 	 5.600e-02 
1.47500 	 6.712e-02 	 2.556e-01 	 2.415e+00 	 5.233e-02 
1.52500 	 6.413e-02 	 2.451e-01 	 2.332e+00 	 4.615e-02 
1.57500 	 6.118e-02 	 2.367e-01 	 2.272e+00 	 4.335e-02 
1.62500 	 5.784e-02 	 2.219e-01 	 2.201e+00 	 3.873e-02 
1.67500 	 5.478e-02 	 2.171e-01 	 2.123e+00 	 3.673e-02 
1.72500 	 5.076e-02 	 2.027e-01 	 2.042e+00 	 3.395e-02 
1.77500 	 4.920e-02 	 2.008e-01 	 2.034e+00 	 3.123e-02 
1.82500 	 4.594e-02 	 1.912e-01 	 1.942e+00 	 2.953e-02 
1.87500 	 4.351e-02 	 1.859e-01 	 1.878e+00 	 2.720e-02 
1.92500 	 4.074e-02 	 1.771e-01 	 1.852e+00 	 2.609e-02 
1.97500 	 3.881e-02 	 1.691e-01 	 1.773e+00 	 2.459e-02 
2.02500 	 3.673e-02 	 1.630e-01 	 1.746e+00 	 2.296e-02 
2.07500 	 3.557e-02 	 1.570e-01 	 1.706e+00 	 2.115e-02 
2.12500 	 3.334e-02 	 1.530e-01 	 1.656e+00 	 2.018e-02 
2.17500 	 3.233e-02 	 1.470e-01 	 1.596e+00 	 1.836e-02 
2.22500 	 3.024e-02 	 1.428e-01 	 1.587e+00 	 1.718e-02 
2.27500 	 2.857e-02 	 1.366e-01 	 1.472e+00 	 1.637e-02 
2.32500 	 2.745e-02 	 1.328e-01 	 1.454e+00 	 1.580e-02 
2.37500 	 2.598e-02 	 1.293e-01 	 1.421e+00 	 1.447e-02 
2.42500 	 2.521e-02 	 1.229e-01 	 1.359e+00 	 1.348e-02 
2.47500 	 2.342e-02 	 1.174e-01 	 1.342e+00 	 1.234e-02 
2.52500 	 2.262e-02 	 1.152e-01 	 1.321e+00 	 1.167e-02 
2.57500 	 2.206e-02 	 1.098e-01 	 1.288e+00 	 1.111e-02 
2.62500 	 2.044e-02 	 1.046e-01 	 1.237e+00 	 1.049e-02 
