number of photons = 10000.000000
bin size = 0.00400 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.00200 	 2.076e+04 	 1.467e+02 	 8.916e+00 	 9.218e+05 
0.00600 	 2.581e+03 	 6.022e+01 	 7.488e+00 	 3.259e+03 
0.01000 	 1.047e+03 	 4.039e+01 	 6.886e+00 	 1.375e+03 
0.01400 	 5.905e+02 	 3.148e+01 	 6.351e+00 	 7.554e+02 
0.01800 	 3.951e+02 	 2.591e+01 	 5.981e+00 	 4.875e+02 
0.02200 	 2.846e+02 	 2.225e+01 	 5.673e+00 	 3.430e+02 
0.02600 	 2.200e+02 	 2.003e+01 	 5.370e+00 	 2.540e+02 
0.03000 	 1.787e+02 	 1.780e+01 	 5.070e+00 	 1.949e+02 
0.03400 	 1.485e+02 	 1.600e+01 	 4.837e+00 	 1.501e+02 
0.03800 	 1.249e+02 	 1.440e+01 	 4.567e+00 	 1.188e+02 
0.04200 	 1.060e+02 	 1.319e+01 	 4.342e+00 	 9.660e+01 
0.04600 	 9.191e+01 	 1.202e+01 	 4.102e+00 	 7.957e+01 
0.05000 	 7.937e+01 	 1.090e+01 	 3.950e+00 	 6.688e+01 
0.05400 	 6.924e+01 	 1.021e+01 	 3.717e+00 	 5.659e+01 
0.05800 	 6.252e+01 	 9.398e+00 	 3.539e+00 	 4.781e+01 
0.06200 	 5.452e+01 	 8.580e+00 	 3.388e+00 	 4.183e+01 
0.06600 	 4.924e+01 	 8.066e+00 	 3.186e+00 	 3.545e+01 
0.07000 	 4.393e+01 	 7.396e+00 	 3.079e+00 	 3.058e+01 
0.07400 	 3.899e+01 	 6.836e+00 	 2.910e+00 	 2.665e+01 
0.07800 	 3.533e+01 	 6.298e+00 	 2.767e+00 	 2.304e+01 
0.08200 	 3.193e+01 	 5.935e+00 	 2.640e+00 	 2.028e+01 
